               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0958,            0.054648,             0.08692,            0.003624,            0.016299,           0.0018121,          0.00039905,            0.075746,            0.033994,            0.085554,             0.00058,             0.00058,             0.09478
                   1,            0.074987,            0.061447,            0.083593,            0.020463,             0.07194,             0.01245,           0.0045223,            0.062764,             0.03535,            0.082715,           0.0011698,           0.0011698,             0.08947
                   2,            0.061848,            0.060005,            0.080536,              0.2271,            0.068967,            0.024636,            0.012203,            0.054203,            0.032569,            0.080292,           0.0017586,           0.0017586,            0.084159
                   3,            0.055439,            0.056265,            0.077091,             0.44331,            0.067679,            0.030613,            0.011895,            0.054145,            0.030561,            0.078812,           0.0023458,           0.0023458,            0.078846
                   4,            0.053777,            0.054117,            0.074804,             0.37371,             0.11605,            0.045695,            0.019831,            0.049408,            0.028785,             0.07631,           0.0029307,           0.0029307,            0.073531
                   5,            0.051173,            0.053336,            0.075138,             0.38196,             0.10054,            0.043177,            0.025551,             0.05027,            0.034494,            0.074228,           0.0035126,           0.0035126,            0.068213
                   6,            0.050051,            0.052282,            0.072806,            0.095277,             0.20074,            0.067856,            0.037881,            0.048486,            0.027549,            0.073993,           0.0040908,           0.0040908,            0.062891
                   7,            0.049649,            0.051488,            0.072094,            0.038286,             0.27037,            0.057724,            0.033775,            0.046806,            0.028854,            0.075094,           0.0046646,           0.0046646,            0.057565
                   8,             0.05071,            0.051663,            0.070275,             0.30549,             0.18905,            0.087193,            0.049523,            0.046079,            0.027712,            0.072255,           0.0052334,           0.0052334,            0.052233
                   9,            0.051173,            0.049922,             0.06962,              0.1507,             0.22623,             0.09587,            0.056483,            0.047151,            0.028176,            0.069028,           0.0057965,           0.0057965,            0.046896
                  10,            0.049245,            0.049774,            0.069006,             0.46255,             0.14638,            0.085265,             0.05134,            0.048964,             0.02851,             0.06836,           0.0063531,           0.0063531,            0.041553
