               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11896,            0.025924,            0.048101,            0.007076,             0.06821,           0.0037278,          0.00078081,             0.10216,            0.021508,            0.042832,             0.00021,             0.00021,             0.09811
                   1,             0.09472,            0.028706,            0.037573,            0.070035,            0.083333,            0.061957,            0.016246,            0.073605,            0.023962,            0.033085,          0.00042992,          0.00042992,             0.09613
                   2,             0.07204,            0.033602,            0.030247,             0.91038,             0.13889,             0.18685,            0.074654,            0.056712,            0.023459,            0.028706,          0.00064949,          0.00064949,            0.094149
                   3,            0.060982,            0.029653,            0.026573,             0.43439,             0.40603,             0.26687,             0.14568,            0.046475,            0.020429,            0.025121,          0.00086846,          0.00086846,            0.092168
                   4,            0.056982,            0.024624,             0.02415,             0.34779,             0.49381,             0.31754,             0.11987,             0.05546,             0.01605,            0.021838,           0.0010866,           0.0010866,            0.090187
                   5,            0.056916,            0.021159,             0.02164,              0.6219,             0.51225,             0.43365,             0.18519,            0.047237,            0.014241,            0.017937,           0.0013035,           0.0013035,            0.088204
                   6,            0.054595,            0.018842,            0.017916,             0.71628,             0.43785,             0.47624,             0.18532,             0.04986,            0.012621,            0.014186,           0.0015192,           0.0015192,            0.086219
                   7,            0.053502,            0.017521,            0.014573,             0.75676,             0.43947,             0.57936,             0.24915,            0.050048,            0.011552,            0.010732,           0.0017331,           0.0017331,            0.084233
                   8,            0.052389,            0.016881,            0.011498,             0.71401,             0.68462,             0.72355,             0.34331,            0.042932,            0.010571,            0.008003,           0.0019452,           0.0019452,            0.082245
                   9,            0.049776,            0.015467,           0.0089027,             0.65404,             0.78489,             0.76717,             0.35812,            0.041347,           0.0098604,           0.0064092,           0.0021552,           0.0021552,            0.080255
                  10,            0.048895,            0.014513,           0.0078428,              0.6857,             0.73428,             0.75774,             0.40569,            0.039399,           0.0091178,           0.0047676,           0.0023628,           0.0023628,            0.078263
                  11,            0.047798,             0.01419,           0.0065497,             0.83235,             0.70137,               0.817,              0.4163,            0.042397,           0.0085378,           0.0043705,           0.0025678,           0.0025678,            0.076268
                  12,            0.045527,            0.013293,           0.0064119,             0.70601,             0.81956,             0.79461,             0.39795,            0.036138,           0.0085074,           0.0039124,           0.0027699,           0.0027699,             0.07427
                  13,            0.043842,            0.012394,           0.0053037,              0.7481,             0.80296,             0.81588,             0.36558,            0.038235,           0.0076358,           0.0034024,            0.002969,            0.002969,            0.072269
                  14,            0.042236,            0.012519,            0.005164,             0.71582,             0.87346,             0.82626,             0.46132,            0.032174,           0.0072676,           0.0032739,           0.0031648,           0.0031648,            0.070265
                  15,            0.040455,            0.011892,            0.004588,             0.85936,             0.87981,              0.9247,             0.49981,            0.032557,           0.0071753,           0.0031088,            0.003357,            0.003357,            0.068257
                  16,            0.040401,            0.011919,           0.0044469,             0.85686,             0.82488,             0.87929,             0.49681,            0.030963,           0.0069305,           0.0029845,           0.0035454,           0.0035454,            0.066245
                  17,            0.039901,            0.011995,           0.0042455,             0.90738,             0.93423,             0.94381,             0.59029,            0.027882,           0.0068234,           0.0029489,             0.00373,             0.00373,             0.06423
                  18,            0.037541,            0.010668,           0.0039108,             0.88923,             0.84693,             0.90823,             0.52874,            0.029203,           0.0063366,           0.0029651,           0.0039103,           0.0039103,             0.06221
                  19,            0.037175,            0.010611,           0.0037016,             0.84919,             0.75228,             0.83381,             0.44794,            0.033062,           0.0064216,           0.0026557,           0.0040864,           0.0040864,            0.060186
                  20,            0.035484,            0.010572,           0.0036192,              0.8733,             0.89706,             0.90809,             0.58021,            0.027246,           0.0061684,           0.0028256,           0.0042578,           0.0042578,            0.058158
                  21,            0.035013,           0.0099112,           0.0035121,             0.86191,             0.87877,              0.9089,             0.55566,            0.026891,           0.0059243,           0.0024854,           0.0044246,           0.0044246,            0.056125
                  22,            0.036453,            0.010226,           0.0033692,             0.79234,             0.79783,             0.83173,             0.42579,            0.034431,           0.0065649,           0.0032941,           0.0045864,           0.0045864,            0.054086
                  23,            0.043668,            0.011029,           0.0041994,             0.88367,             0.83207,             0.89494,             0.41452,            0.033667,           0.0061968,           0.0028364,           0.0047432,           0.0047432,            0.052043
                  24,            0.043733,            0.010574,           0.0038744,             0.79579,             0.91091,             0.89117,             0.47725,            0.035694,           0.0063527,           0.0033066,           0.0048948,           0.0048948,            0.049995
                  25,            0.042376,            0.010732,           0.0037737,             0.90397,              0.8422,             0.92735,             0.52584,            0.033056,           0.0060734,            0.002848,            0.005041,            0.005041,            0.047941
                  26,              0.0397,            0.010493,           0.0037425,             0.87221,             0.88811,              0.9005,             0.55955,            0.030805,           0.0060444,           0.0029151,           0.0051817,           0.0051817,            0.045882
                  27,            0.038619,            0.010307,           0.0032677,              0.8931,             0.89346,             0.91303,             0.52423,            0.029265,           0.0060396,           0.0027172,           0.0053168,           0.0053168,            0.043817
                  28,            0.038043,           0.0099229,           0.0034382,             0.92233,             0.92411,             0.93089,             0.55501,            0.033614,            0.005957,           0.0030931,           0.0054462,           0.0054462,            0.041746
                  29,             0.03969,            0.010354,           0.0033976,             0.90385,             0.87832,             0.91976,             0.53694,            0.027094,           0.0059135,           0.0029153,           0.0055696,           0.0055696,             0.03967
                  30,            0.035622,           0.0094215,           0.0030946,             0.91337,             0.90205,             0.94797,              0.5217,            0.026606,           0.0058853,            0.002897,           0.0056871,           0.0056871,            0.037587
                  31,            0.034409,            0.010023,            0.003195,             0.86877,               0.911,             0.95532,             0.59567,            0.027312,           0.0055105,           0.0028581,           0.0057986,           0.0057986,            0.035499
                  32,            0.036091,           0.0098379,               0.003,             0.96327,             0.90899,             0.95525,             0.62963,            0.025233,           0.0054484,           0.0026123,           0.0059039,           0.0059039,            0.033404
                  33,            0.034666,           0.0096645,           0.0030835,             0.84257,             0.93599,             0.93026,             0.59604,            0.025741,           0.0053947,           0.0023273,            0.006003,            0.006003,            0.031303
                  34,            0.032783,            0.009288,           0.0029525,             0.87871,             0.92416,             0.94332,             0.63221,            0.026102,           0.0055037,           0.0027143,           0.0060959,           0.0060959,            0.029196
                  35,            0.032816,           0.0088642,            0.002998,             0.94618,             0.90411,             0.94814,             0.58958,            0.023846,           0.0056048,           0.0023339,           0.0061824,           0.0061824,            0.027082
                  36,            0.033271,           0.0093788,           0.0026557,             0.92882,             0.91002,              0.9479,             0.62687,            0.023919,           0.0056235,           0.0024152,           0.0062626,           0.0062626,            0.024963
                  37,            0.030554,           0.0091782,           0.0029504,             0.94074,             0.94795,             0.95977,             0.68007,            0.022205,           0.0053546,           0.0019471,           0.0063365,           0.0063365,            0.022836
                  38,            0.029381,            0.008918,           0.0025448,             0.95368,             0.89759,             0.94383,             0.65486,             0.02368,            0.005303,           0.0022304,           0.0064039,           0.0064039,            0.020704
                  39,            0.028952,           0.0089996,           0.0025073,             0.92815,             0.89779,              0.9502,             0.65515,            0.023139,           0.0053887,           0.0020342,            0.006465,            0.006465,            0.018565
                  40,            0.027955,           0.0086358,           0.0023166,             0.89437,               0.911,             0.91222,             0.58821,            0.022482,           0.0052994,           0.0021793,           0.0065197,           0.0065197,             0.01642
                  41,            0.029212,           0.0088064,           0.0022688,             0.94924,             0.86164,             0.91539,             0.60472,            0.025056,           0.0054317,           0.0020232,            0.006568,            0.006568,            0.014268
                  42,            0.028687,           0.0089601,           0.0023347,             0.91973,             0.89956,             0.95212,             0.66455,            0.021321,            0.005131,           0.0019207,             0.00661,             0.00661,             0.01211
                  43,            0.027364,           0.0085931,           0.0023432,             0.97963,             0.93051,             0.97018,             0.70724,            0.020694,           0.0051424,           0.0018372,           0.0066458,           0.0066458,           0.0099458
                  44,            0.027141,            0.008832,           0.0022009,             0.98906,             0.90626,             0.95245,             0.70781,             0.02043,           0.0050794,           0.0025359,           0.0066753,           0.0066753,           0.0077753
                  45,            0.026328,           0.0090219,           0.0021822,             0.95281,             0.88856,             0.92999,             0.66956,            0.021185,           0.0056803,           0.0022274,           0.0066257,           0.0066257,           0.0066257
                  46,            0.026563,           0.0085145,           0.0021596,             0.97977,              0.8978,             0.94525,             0.68357,             0.02065,           0.0049561,            0.001882,           0.0066257,           0.0066257,           0.0066257
                  47,            0.026533,           0.0085739,           0.0020174,             0.97011,             0.92319,             0.94097,             0.70514,            0.020874,           0.0050998,           0.0019989,           0.0065013,           0.0065013,           0.0065013
                  48,            0.023968,           0.0083629,           0.0021039,             0.94196,             0.91572,              0.9537,             0.71354,            0.018879,           0.0049333,           0.0019171,           0.0063764,           0.0063764,           0.0063764
                  49,            0.023942,            0.008223,           0.0018784,             0.98684,             0.93537,             0.96975,             0.63684,            0.019945,           0.0047838,           0.0015626,           0.0062512,           0.0062512,           0.0062512
                  50,             0.02279,           0.0081282,           0.0018294,              0.9568,             0.94105,             0.95354,              0.7112,            0.018472,           0.0048114,           0.0017097,           0.0061256,           0.0061256,           0.0061256
                  51,            0.022565,           0.0076938,           0.0019014,             0.96877,             0.88998,             0.92413,             0.66076,            0.019301,           0.0051492,           0.0017488,               0.006,               0.006,               0.006
                  52,            0.021802,           0.0080216,           0.0018226,             0.97145,             0.90792,             0.92756,              0.6864,            0.019877,           0.0053482,            0.001798,           0.0058744,           0.0058744,           0.0058744
